hello,你好
goodbye,再見
thank you,謝謝你
please,請
sorry,對不起
yes,是的
no,不
time,時間
day,天
week,週
month,月
year,年
school,學校
teacher,老師
student,學生
book,書籍
pen,筆
pencil,鉛筆
paper,紙
computer,電腦
classroom,教室
friend,朋友
family,家庭
food,食物
water,水
eat,吃
drink,喝
sleep,睡覺
play,玩
study,學習
listen,聽
speak,說話
read,閱讀
write,寫
cat,貓
dog,狗
bird,鳥
fish,魚
tree,樹
flower,花
sun,太陽
moon,月亮
star,星星
rain,雨
snow,雪
cloud,雲
wind,風
fire,火
earth,地球
sky,天空
mountain,山
river,河流
beach,海灘
bicycle,自行車
car,汽車
bus,公車
train,火車
ship,船
plane,飛機
schoolbag,書包
shoes,鞋子
shirt,襯衫
pants,褲子
dress,洋裝
hat,帽子
socks,襪子
glasses,眼鏡
watch,手錶
money,錢
toy,玩具
game,遊戲
music,音樂
dance,跳舞
draw,畫畫
color,顏色
ball,球
bike,腳踏車
run,跑
jump,跳
swim,游泳
climb,爬
kick,踢
catch,接住
throw,投擲
happy,快樂
sad,悲傷
angry,生氣
tired,累
hungry,餓
thirsty,口渴
hot,熱
cold,冷
big,大
small,小
